County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients,,,,,,,
Los Angeles,4/1/2020,3502,66,739,1332,335,220,,,,,,,
San Bernardino,4/1/2020,245,5,95,196,39,52,,,,,,,
Orange,4/1/2020,579,11,117,221,50,48,,,,,,,
Riverside,4/1/2020,306,11,85,182,29,47,,,,,,,
Sacramento,4/1/2020,299,8,53,138,20,33,,,,,,,
San Diego,4/1/2020,851,11,168,340,71,32,,,,,,,
Ventura,4/1/2020,154,5,22,96,5,23,,,,,,,
Santa Clara,4/1/2020,805,33,160,85,77,15,,,,,,,
Alameda,4/1/2020,287,8,52,76,27,15,,,,,,,
Fresno,4/1/2020,75,0,19,101,5,13,,,,,,,
Contra Costa,4/1/2020,267,3,31,42,12,12,,,,,,,
San Joaquin,4/1/2020,132,8,25,35,16,11,,,,,,,
San Mateo,4/1/2020,354,13,57,35,19,9,,,,,,,
Kern,4/1/2020,53,0,15,45,7,9,,,,,,,
San Francisco,4/1/2020,432,6,67,66,30,8,,,,,,,
Santa Barbara,4/1/2020,103,0,23,23,15,6,,,,,,,
Stanislaus,4/1/2020,29,0,25,39,10,6,,,,,,,
San Luis Obispo,4/1/2020,69,0,8,10,5,6,,,,,,,
Monterey,4/1/2020,47,2,13,16,4,4,,,,,,,
Imperial,4/1/2020,25,0,4,15,3,4,,,,,,,
Tulare,4/1/2020,43,1,4,12,3,4,,,,,,,
Butte,4/1/2020,6,0,5,33,2,4,,,,,,,
Yuba,4/1/2020,5,0,2,24,2,4,,,,,,,
Nevada,4/1/2020,15,0,36,54,0,4,,,,,,,
El Dorado,4/1/2020,14,0,14,8,1,3,,,,,,,
Merced,4/1/2020,7,0,3,15,0,3,,,,,,,
Humboldt,4/1/2020,19,0,1,9,0,3,,,,,,,
Placer,4/1/2020,52,2,25,28,6,2,,,,,,,
Solano,4/1/2020,57,0,14,18,5,2,,,,,,,
Marin,4/1/2020,87,1,9,19,4,2,,,,,,,
Santa Cruz,4/1/2020,44,1,2,12,2,2,,,,,,,
Sonoma,4/1/2020,60,1,5,18,1,2,,,,,,,
Kings,4/1/2020,3,0,2,6,1,2,,,,,,,
Siskiyou,4/1/2020,3,0,0,5,0,2,,,,,,,
Yolo,4/1/2020,22,1,3,3,1,1,,,,,,,
Shasta,4/1/2020,5,1,1,4,0,1,,,,,,,
Napa,4/1/2020,11,0,2,2,0,1,,,,,,,
Colusa,4/1/2020,1,0,0,1,0,1,,,,,,,
Tehama,4/1/2020,0,0,0,1,0,1,,,,,,,
San Benito,4/1/2020,14,1,2,0,2,0,,,,,,,
Madera,4/1/2020,17,1,1,3,1,0,,,,,,,
Inyo,4/1/2020,8,0,7,89,0,0,,,,,,,
Lassen,4/1/2020,0,0,0,7,0,0,,,,,,,
Del Norte,4/1/2020,0,0,0,5,0,0,,,,,,,
Amador,4/1/2020,1,0,0,3,0,0,,,,,,,
Mendocino,4/1/2020,4,0,0,2,0,0,,,,,,,
Lake,4/1/2020,0,0,0,2,0,0,,,,,,,
Calaveras,4/1/2020,3,0,0,1,0,0,,,,,,,
Mono,4/1/2020,12,1,0,0,0,0,,,,,,,
Sutter,4/1/2020,9,1,0,0,0,0,,,,,,,
Plumas,4/1/2020,1,0,0,0,0,0,,,,,,,
Tuolumne,4/1/2020,1,0,0,0,0,0,,,,,,,
Mariposa,4/1/2020,0,0,0,0,0,0,,,,,,,
Trinity,4/1/2020,0,0,0,0,0,0,,,,,,,
Unassigned,4/1/2020,50,1,,,,,,,,,,,
