County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Alameda,4/4/2020,468,12,60,95,35,18
Alpine,4/4/2020,1,0,,,,
Amador,4/4/2020,2,0,0,0,0,0
Butte,4/4/2020,10,0,3,14,1,4
Calaveras,4/4/2020,3,0,0,1,0,0
Colusa,4/4/2020,1,0,1,0,1,0
Contra Costa,4/4/2020,382,5,30,47,12,7
Del Norte,4/4/2020,1,0,0,2,0,0
El Dorado,4/4/2020,19,0,15,9,0,3
Fresno,4/4/2020,102,1,14,93,7,20
Glenn,4/4/2020,2,0,0,0,0,0
Humboldt,4/4/2020,29,0,1,4,0,0
Imperial,4/4/2020,42,1,9,10,5,2
Inyo,4/4/2020,10,0,8,106,1,1
Kern,4/4/2020,103,2,33,54,14,11
Kings,4/4/2020,3,0,1,9,1,0
Lake,4/4/2020,0,0,0,4,0,1
Lassen,4/4/2020,0,0,0,0,0,0
Los Angeles,4/4/2020,5275,117,1007,1190,449,181
Madera,4/4/2020,27,2,0,4,0,0
Marin,4/4/2020,111,6,5,16,3,5
Mariposa,4/4/2020,0,0,0,2,0,0
Mendocino,4/4/2020,4,0,0,3,0,1
Merced,4/4/2020,11,0,5,14,1,1
Modoc,4/4/2020,0,0,0,0,0,0
Mono,4/4/2020,18,1,20,2,0,0
Monterey,4/4/2020,61,2,16,25,4,2
Napa,4/4/2020,15,2,1,8,0,1
Nevada,4/4/2020,19,1,2,6,2,2
Orange,4/4/2020,781,15,143,213,70,45
Placer,4/4/2020,87,2,23,14,10,1
Plumas,4/4/2020,2,0,0,0,0,0
Riverside,4/4/2020,652,15,126,186,39,56
Sacramento,4/4/2020,393,11,69,76,25,18
San Benito,4/4/2020,22,1,2,3,2,0
San Bernardino,4/4/2020,373,13,138,254,51,66
San Diego,4/4/2020,1211,18,177,218,86,19
San Francisco,4/4/2020,537,6,80,65,37,7
San Joaquin,4/4/2020,171,10,43,30,16,7
San Luis Obispo,4/4/2020,82,0,4,6,3,3
San Mateo,4/4/2020,520,17,66,19,25,6
Santa Barbara,4/4/2020,167,1,28,34,18,2
Santa Clara,4/4/2020,1045,39,159,79,72,19
Santa Cruz,4/4/2020,56,1,4,6,3,0
Shasta,4/4/2020,11,2,2,10,4,0
Sierra,4/4/2020,0,0,,,,
Siskiyou,4/4/2020,3,0,0,2,0,1
Solano,4/4/2020,79,1,16,19,7,2
Sonoma,4/4/2020,88,1,7,16,2,6
Stanislaus,4/4/2020,51,0,30,45,12,9
Sutter,4/4/2020,14,1,0,0,,
Tehama,4/4/2020,1,0,0,1,0,0
Trinity,4/4/2020,0,0,0,0,0,0
Tulare,4/4/2020,79,4,8,20,5,1
Tuolumne,4/4/2020,1,0,0,1,0,1
Unassigned,4/4/2020,52,1,,,,
Ventura,4/4/2020,194,6,21,127,7,25
Yolo,4/4/2020,40,2,4,5,3,3
Yuba,4/4/2020,7,0,2,16,2,2
