country_region,last_update,confirmed,deaths,recovered,active,delta_confirmed,delta_recovered
Afghanistan,2020-01-22,0,0,,,0,
Afghanistan,2020-01-23,0,0,,,0,
Afghanistan,2020-01-24,0,0,,,0,
Afghanistan,2020-01-25,0,0,,,0,
Afghanistan,2020-01-26,0,0,,,0,
Afghanistan,2020-01-27,0,0,,,0,
Afghanistan,2020-01-28,0,0,,,0,
Afghanistan,2020-01-29,0,0,,,0,
Afghanistan,2020-01-30,0,0,,,0,
Afghanistan,2020-01-31,0,0,,,0,
Afghanistan,2020-02-01,0,0,,,0,
Afghanistan,2020-02-02,0,0,,,0,
Afghanistan,2020-02-03,0,0,,,0,
Afghanistan,2020-02-04,0,0,,,0,
Afghanistan,2020-02-05,0,0,,,0,
Afghanistan,2020-02-06,0,0,,,0,
Afghanistan,2020-02-07,0,0,,,0,
Afghanistan,2020-02-08,0,0,,,0,
Afghanistan,2020-02-09,0,0,,,0,
Afghanistan,2020-02-10,0,0,,,0,
Afghanistan,2020-02-11,0,0,,,0,
Afghanistan,2020-02-12,0,0,,,0,
Afghanistan,2020-02-13,0,0,,,0,
Afghanistan,2020-02-14,0,0,,,0,
Afghanistan,2020-02-15,0,0,,,0,
Afghanistan,2020-02-16,0,0,,,0,
Afghanistan,2020-02-17,0,0,,,0,
Afghanistan,2020-02-18,0,0,,,0,
Afghanistan,2020-02-19,0,0,,,0,
Afghanistan,2020-02-20,0,0,,,0,
Afghanistan,2020-02-21,0,0,,,0,
Afghanistan,2020-02-22,0,0,,,0,
Afghanistan,2020-02-23,0,0,,,0,
Afghanistan,2020-02-24,1,0,,,1,
Afghanistan,2020-02-25,1,0,,,0,
Afghanistan,2020-02-26,1,0,,,0,
Afghanistan,2020-02-27,1,0,,,0,
Afghanistan,2020-02-28,1,0,,,0,
Afghanistan,2020-02-29,1,0,,,0,
Afghanistan,2020-03-01,1,0,,,0,
Afghanistan,2020-03-02,1,0,,,0,
Afghanistan,2020-03-03,1,0,,,0,
Afghanistan,2020-03-04,1,0,,,0,
Afghanistan,2020-03-05,1,0,,,0,
Afghanistan,2020-03-06,1,0,,,0,
Afghanistan,2020-03-07,1,0,,,0,
Afghanistan,2020-03-08,4,0,,,3,
Afghanistan,2020-03-09,4,0,,,0,
Afghanistan,2020-03-10,5,0,,,1,
Afghanistan,2020-03-11,7,0,,,2,
Afghanistan,2020-03-12,7,0,,,0,
Afghanistan,2020-03-13,7,0,,,0,
Afghanistan,2020-03-14,11,0,,,4,
Afghanistan,2020-03-15,16,0,,,5,
Afghanistan,2020-03-16,21,0,,,5,
Afghanistan,2020-03-17,22,0,,,1,
Afghanistan,2020-03-18,22,0,,,0,
Afghanistan,2020-03-19,22,0,,,0,
Afghanistan,2020-03-20,24,0,,,2,
Afghanistan,2020-03-21,24,0,,,0,
Afghanistan,2020-03-22,40,1,,,16,
Afghanistan,2020-03-23,40,1,,,0,
Afghanistan,2020-03-24,74,1,,,34,
Afghanistan,2020-03-25,84,2,,,10,
Afghanistan,2020-03-26,94,4,,,10,
Afghanistan,2020-03-27,110,4,,,16,
Afghanistan,2020-03-28,110,4,,,0,
Afghanistan,2020-03-29,120,4,,,10,
Afghanistan,2020-03-30,170,4,,,50,
Afghanistan,2020-03-31,174,4,,,4,
Afghanistan,2020-04-01,237,4,,,63,
Afghanistan,2020-04-02,273,6,,,36,
Afghanistan,2020-04-03,281,6,,,8,
Afghanistan,2020-04-04,299,7,,,18,
Albania,2020-01-22,0,0,,,0,
Albania,2020-01-23,0,0,,,0,
Albania,2020-01-24,0,0,,,0,
Albania,2020-01-25,0,0,,,0,
Albania,2020-01-26,0,0,,,0,
Albania,2020-01-27,0,0,,,0,
Albania,2020-01-28,0,0,,,0,
Albania,2020-01-29,0,0,,,0,
Albania,2020-01-30,0,0,,,0,
Albania,2020-01-31,0,0,,,0,
Albania,2020-02-01,0,0,,,0,
Albania,2020-02-02,0,0,,,0,
Albania,2020-02-03,0,0,,,0,
Albania,2020-02-04,0,0,,,0,
Albania,2020-02-05,0,0,,,0,
Albania,2020-02-06,0,0,,,0,
Albania,2020-02-07,0,0,,,0,
Albania,2020-02-08,0,0,,,0,
Albania,2020-02-09,0,0,,,0,
Albania,2020-02-10,0,0,,,0,
Albania,2020-02-11,0,0,,,0,
Albania,2020-02-12,0,0,,,0,
Albania,2020-02-13,0,0,,,0,
Albania,2020-02-14,0,0,,,0,
Albania,2020-02-15,0,0,,,0,
Albania,2020-02-16,0,0,,,0,
Albania,2020-02-17,0,0,,,0,
Albania,2020-02-18,0,0,,,0,
Albania,2020-02-19,0,0,,,0,
Albania,2020-02-20,0,0,,,0,
Albania,2020-02-21,0,0,,,0,
Albania,2020-02-22,0,0,,,0,
Albania,2020-02-23,0,0,,,0,
Albania,2020-02-24,0,0,,,0,
Albania,2020-02-25,0,0,,,0,
Albania,2020-02-26,0,0,,,0,
Albania,2020-02-27,0,0,,,0,
Albania,2020-02-28,0,0,,,0,
Albania,2020-02-29,0,0,,,0,
Albania,2020-03-01,0,0,,,0,
Albania,2020-03-02,0,0,,,0,
Albania,2020-03-03,0,0,,,0,
Albania,2020-03-04,0,0,,,0,
Albania,2020-03-05,0,0,,,0,
Albania,2020-03-06,0,0,,,0,
Albania,2020-03-07,0,0,,,0,
Albania,2020-03-08,0,0,,,0,
Albania,2020-03-09,2,0,,,2,
Albania,2020-03-10,10,0,,,8,
Albania,2020-03-11,12,1,,,2,
Albania,2020-03-12,23,1,,,11,
Albania,2020-03-13,33,1,,,10,
Albania,2020-03-14,38,1,,,5,
Albania,2020-03-15,42,1,,,4,
Albania,2020-03-16,51,1,,,9,
Albania,2020-03-17,55,1,,,4,
Albania,2020-03-18,59,2,,,4,
Albania,2020-03-19,64,2,,,5,
Albania,2020-03-20,70,2,,,6,
Albania,2020-03-21,76,2,,,6,
Albania,2020-03-22,89,2,,,13,
Albania,2020-03-23,104,4,,,15,
Albania,2020-03-24,123,5,,,19,
Albania,2020-03-25,146,5,,,23,
Albania,2020-03-26,174,6,,,28,
Albania,2020-03-27,186,8,,,12,
Albania,2020-03-28,197,10,,,11,
Albania,2020-03-29,212,10,,,15,
Albania,2020-03-30,223,11,,,11,
Albania,2020-03-31,243,15,,,20,
Albania,2020-04-01,259,15,,,16,
Albania,2020-04-02,277,16,,,18,
Albania,2020-04-03,304,17,,,27,
Albania,2020-04-04,333,20,,,29,
Algeria,2020-01-22,0,0,,,0,
Algeria,2020-01-23,0,0,,,0,
Algeria,2020-01-24,0,0,,,0,
Algeria,2020-01-25,0,0,,,0,
Algeria,2020-01-26,0,0,,,0,
Algeria,2020-01-27,0,0,,,0,
Algeria,2020-01-28,0,0,,,0,
Algeria,2020-01-29,0,0,,,0,
Algeria,2020-01-30,0,0,,,0,
Algeria,2020-01-31,0,0,,,0,
Algeria,2020-02-01,0,0,,,0,
Algeria,2020-02-02,0,0,,,0,
Algeria,2020-02-03,0,0,,,0,
Algeria,2020-02-04,0,0,,,0,
Algeria,2020-02-05,0,0,,,0,
Algeria,2020-02-06,0,0,,,0,
Algeria,2020-02-07,0,0,,,0,
Algeria,2020-02-08,0,0,,,0,
Algeria,2020-02-09,0,0,,,0,
Algeria,2020-02-10,0,0,,,0,
Algeria,2020-02-11,0,0,,,0,
Algeria,2020-02-12,0,0,,,0,
Algeria,2020-02-13,0,0,,,0,
Algeria,2020-02-14,0,0,,,0,
Algeria,2020-02-15,0,0,,,0,
Algeria,2020-02-16,0,0,,,0,
Algeria,2020-02-17,0,0,,,0,
Algeria,2020-02-18,0,0,,,0,
Algeria,2020-02-19,0,0,,,0,
Algeria,2020-02-20,0,0,,,0,
Algeria,2020-02-21,0,0,,,0,
Algeria,2020-02-22,0,0,,,0,
Algeria,2020-02-23,0,0,,,0,
Algeria,2020-02-24,0,0,,,0,
Algeria,2020-02-25,1,0,,,1,
Algeria,2020-02-26,1,0,,,0,
Algeria,2020-02-27,1,0,,,0,
Algeria,2020-02-28,1,0,,,0,
Algeria,2020-02-29,1,0,,,0,
Algeria,2020-03-01,1,0,,,0,
Algeria,2020-03-02,3,0,,,2,
Algeria,2020-03-03,5,0,,,2,
Algeria,2020-03-04,12,0,,,7,
Algeria,2020-03-05,12,0,,,0,
Algeria,2020-03-06,17,0,,,5,
Algeria,2020-03-07,17,0,,,0,
Algeria,2020-03-08,19,0,,,2,
Algeria,2020-03-09,20,0,,,1,
Algeria,2020-03-10,20,0,,,0,
Algeria,2020-03-11,20,0,,,0,
Algeria,2020-03-12,24,1,,,4,
Algeria,2020-03-13,26,2,,,2,
Algeria,2020-03-14,37,3,,,11,
Algeria,2020-03-15,48,4,,,11,
Algeria,2020-03-16,54,4,,,6,
Algeria,2020-03-17,60,4,,,6,
Algeria,2020-03-18,74,7,,,14,
Algeria,2020-03-19,87,9,,,13,
Algeria,2020-03-20,90,11,,,3,
Algeria,2020-03-21,139,15,,,49,
Algeria,2020-03-22,201,17,,,62,
Algeria,2020-03-23,230,17,,,29,
Algeria,2020-03-24,264,19,,,34,
Algeria,2020-03-25,302,21,,,38,
Algeria,2020-03-26,367,25,,,65,
Algeria,2020-03-27,409,26,,,42,
Algeria,2020-03-28,454,29,,,45,
Algeria,2020-03-29,511,31,,,57,
Algeria,2020-03-30,584,35,,,73,
Algeria,2020-03-31,716,44,,,132,
Algeria,2020-04-01,847,58,,,131,
Algeria,2020-04-02,986,86,,,139,
Algeria,2020-04-03,1171,105,,,185,
Algeria,2020-04-04,1251,130,,,80,
Andorra,2020-01-22,0,0,,,0,
Andorra,2020-01-23,0,0,,,0,
Andorra,2020-01-24,0,0,,,0,
Andorra,2020-01-25,0,0,,,0,
